"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cops92",0.00502673928609607,0.788479328832209,0.581,0.431,1,"8","Cops9"
"Dynlrb12",0.00503562690187804,0.617219491059748,0.767,0.617,1,"8","Dynlrb1"
"Zfp445",0.00512123513171208,1.17924848131892,0.326,0.178,1,"8","Zfp445"
"Ndufs23",0.00515086230527342,0.657585147471939,0.628,0.463,1,"8","Ndufs2"
"Cers41",0.00520955891557533,0.856098612909132,0.372,0.211,1,"8","Cers4"
"6820431F20Rik",0.00528200761702416,0.738155821845512,0.512,0.339,1,"8","6820431F20Rik"
"Acbd3",0.00528611039857344,0.865662800913309,0.535,0.383,1,"8","Acbd3"
"Arhgef122",0.00528648566195105,0.673588663576218,0.674,0.57,1,"8","Arhgef12"
"Esco11",0.00529346751128312,1.26992897733498,0.256,0.126,1,"8","Esco1"
"Hk12",0.00536032244214223,1.34079641047925,0.326,0.181,1,"8","Hk1"
"Fkbp1a2",0.00541591922567324,0.663598175829262,0.744,0.649,1,"8","Fkbp1a"
"Cfl21",0.00543543303407048,0.911115839091214,0.512,0.35,1,"8","Cfl2"
"Dcaf5",0.00556196673210432,1.37598063555907,0.256,0.127,1,"8","Dcaf5"
"Ubr2",0.005600876056873,0.968007472976997,0.419,0.274,1,"8","Ubr2"
"Fkbp43",0.00563037411263153,0.946348156921143,0.395,0.248,1,"8","Fkbp4"
"Dusp62",0.00564580584523309,1.49244462494686,0.302,0.159,1,"8","Dusp6"
"Ube2g2",0.00566169886440816,1.23529979484552,0.326,0.186,1,"8","Ube2g2"
"S100a14",0.00580728292935853,0.684221428555601,0.651,0.493,1,"8","S100a1"
"Cetn22",0.00581789908728065,1.06153083998518,0.419,0.275,1,"8","Cetn2"
"Rabac12",0.00582295536124635,0.506766486981248,0.837,0.761,1,"8","Rabac1"
"Rsl1d11",0.0058845933096224,0.98919853095403,0.395,0.239,1,"8","Rsl1d1"
"Hs2st11",0.00588769761024129,1.2534469949735,0.349,0.205,1,"8","Hs2st1"
"Ss18l2",0.00589102977006882,1.2044394906946,0.256,0.126,1,"8","Ss18l2"
"Cox144",0.00591518113954767,0.866188576248756,0.488,0.357,1,"8","Cox14"
"Dop1a",0.00593407055457392,1.35054182535196,0.256,0.129,1,"8","Dop1a"
"2510009E07Rik1",0.00599164703276488,1.01307962640952,0.419,0.259,1,"8","2510009E07Rik"
"Abcf11",0.00615664176110622,0.531215808554347,0.535,0.339,1,"8","Abcf1"
"Cbx52",0.00616843154415181,0.89003705632669,0.605,0.503,1,"8","Cbx5"
"Tusc32",0.00619535245181333,1.07508988223314,0.465,0.321,1,"8","Tusc3"
"Scoc1",0.00624096918831255,0.926891093409212,0.395,0.24,1,"8","Scoc"
"Fam133b",0.00624649646188341,1.12860246142408,0.419,0.278,1,"8","Fam133b"
"Map2k11",0.00631073161775787,1.45056366198073,0.256,0.13,1,"8","Map2k1"
